Customer_ID,Street,City,State_Code,Postal_Code,Country,Seasonality_Segment,EA_Segment,Revenue_Bucket,Profit_Bucket,Market_Share_Segment,Casino_Size_Segment,Market_Potential_Segment,Churn_Segment,Competitiveness_Flag,Volume_Segment,Density_Segment,Propensity,tier,Segment,avf_score,avf_outlier,dist_to_medoid,centroid_outlier,outlier_any_method
Accoount 20,777 HARRAH'S BOULEVARD,ATLANTIC CITY,NJ,08401,USA,Non Seasonal,Not_Assigned,M,H,L,H,VH,Minimal Change,Not_Assigned,High,Low,M,2,Premium Large-Format Growth Leaders,0.3165457964007521,False,0.4,True,True
Accoount 22,1760 LEARS ROAD,PETOSKEY,MI,49770,USA,Potentially Seasonal,Late Adopter,M,H,L,M,H,Minimal Change,Yes,Medium,Low,M,2,Mid-Format High-Potential Accounts,0.3486435670158474,False,0.4,True,True
Accoount 33,1000 BUFFALO RUN BOULEVARD,MIAMI,OK,74354,USA,Non Seasonal,Early Adopter,M,H,H,M,H,Minimal Change,Not_Assigned,Medium,Medium,M,2,Mid-Format High-Potential Accounts,0.3427343540155789,False,0.4444444444444444,True,True
Accoount 34,261 MAIN STREET,BLACK HAWK,CO,80422,USA,None,None,None,None,H,L,L,None,Yes,High,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2596024711254365,True,,False,True
Accoount 53,308 MCLEAN ST,QUESNEL,BC,V2L 2N9,CAN,None,None,None,None,H,L,L,None,Not_Assigned,Medium,High,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2596024711254365,True,,False,True
Accoount 67,55051 TOWNSHIP RD 710,GRANDE PRAIRIE,AB,T8X 4A3,CAN,None,None,None,None,H,L,L,None,Yes,High,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2596024711254365,True,,False,True
Accoount 104,2901 GRAND RIVER AVENUE,DETROIT,MI,48201,USA,Highly Seasonal,Trend Follower,H,H,M,H,VH,Minimal Change,Yes,Medium,Not_Assigned,M,2,Premium Large-Format Growth Leaders,0.3309159280150416,False,0.4,True,True
Accoount 118,3438 STOLUCKQUAMISH LN,ARLINGTON,WA,98223,USA,Not_Assigned,None,None,None,L,M,H,None,Yes,High,Low,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.253088906795595,True,,False,True
Accoount 186,850 BAYVIEW AVE.,BILOXI,MS,39530,USA,Potentially Seasonal,Early Adopter,H,H,H,M,H,Minimal Change,Yes,High,Low,H,2,Mid-Format High-Potential Accounts,0.3342062852538275,False,0.4,True,True
Accoount 224,100 NORTH HAYFORD ROAD,AIRWAY HEIGHTS,WA,99001,USA,Not_Assigned,None,None,None,L,H,VH,None,Yes,Medium,High,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2465753424657535,True,,False,True
Accoount 355,505 HIGHWAY 59 N,HEAVENER,OK,74937,USA,Potentially Seasonal,None,None,None,H,L,L,Encouraging,Not_Assigned,Low,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2489255976363148,True,,False,True
Accoount 381,69300 EAST NEE ROAD,QUAPAW,OK,74363,USA,Non Seasonal,Early Adopter,H,H,H,H,H,Minimal Change,Not_Assigned,Medium,Medium,M,2,Premium Large-Format Growth Leaders,0.3197690034918077,False,0.7,True,True
Accoount 441,13255 SAN PABLO AVENUE,SAN PABLO,CA,94806,USA,Non Seasonal,Early Adopter,None,None,L,H,VH,Encouraging,Not_Assigned,Low,Not_Assigned,M,1b,"Territory-Scored, Revenue Not Yet Tracked",0.19735428417942522,True,,False,True
Accoount 481,211 EAST WILLOW STREET,HOLDENVILLE,OK,74848,USA,Potentially Seasonal,Late Adopter,L,L,L,L,M,Minimal Change,Not_Assigned,Low,Medium,L,2,"Mature Small-Format, Low-Headroom Accounts",0.3015041633091593,False,0.5,True,True
Accoount 621,1 COWLITZ WAY,RIDGEFIELD,WA,98642,USA,Potentially Seasonal,None,L,L,L,H,VH,Minimal Change,Not_Assigned,Medium,Not_Assigned,L,2,Premium Large-Format Growth Leaders,0.296065001343003,False,0.5555555555555556,True,True
Accoount 631,1908 W JACKSON ST,HUGO,OK,74743,USA,None,None,None,None,H,L,L,None,Not_Assigned,Low,High,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.25758796669352674,True,,False,True
Accoount 653,1785 HWY. 210,CARLTON,MN,55718,USA,Highly Seasonal,Early Adopter,M,H,H,H,H,Minimal Change,Not_Assigned,Medium,High,H,2,Premium Large-Format Growth Leaders,0.325812516787537,False,0.4,True,True
Accoount 748,37500 SE NORTH BEND WAY,SNOQUALMIE,WA,98065,USA,Potentially Seasonal,Not_Assigned,L,L,L,H,VH,Minimal Change,Yes,High,Low,L,2,Premium Large-Format Growth Leaders,0.2800161160354553,False,0.45454545454545453,True,True
Accoount 767,250510 E. 2000 ROAD,DEVOL,OK,73531,USA,Potentially Seasonal,Not_Assigned,L,L,L,L,M,Minimal Change,Not_Assigned,Medium,Medium,Not_Assigned,2,Small-Format Steady Base,0.33125167875369327,False,0.42857142857142855,True,True
Accoount 780,580 FORT RD,TOPPENISH,WA,98948,USA,Not_Assigned,None,None,None,L,M,H,None,Yes,Low,Not_Assigned,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24758259468170837,True,,False,True
Accoount 786,78 STATE ROUTE 115,Ocean Shores,WA,98569,USA,Not_Assigned,None,None,None,L,M,H,None,Not_Assigned,Low,Not_Assigned,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2410690303518668,True,,False,True
Accoount 872,2001 W AIRLINE ROAD,NORMAN,OK,73072,USA,Potentially Seasonal,None,L,L,L,L,M,Minimal Change,Not_Assigned,Medium,High,Not_Assigned,2,Small-Format Steady Base,0.38020413644910017,False,0.42857142857142855,True,True
Accoount 914,360 N. MAIN ST.,TONOPAH,NV,89049,USA,None,None,None,None,L,L,M,None,Not_Assigned,Low,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24979854955680902,True,,False,True
Accoount 916,777 Jackpot Lane,FRIANT,CA,93626,USA,Potentially Seasonal,Late Adopter,H,H,H,H,H,Concerning,Not_Assigned,Medium,High,H,2,Premium Large-Format Growth Leaders,0.26208702659145855,True,0.5,True,True
Accoount 934,1003 US HIGHWAY 395 N,GARDNERVILLE,NV,89410,USA,None,None,None,None,L,L,M,None,Yes,Medium,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.25832661831856035,True,,False,True
Accoount 1068,2200 RIVER ROAD,Council Bluffs,IA,51501,USA,Potentially Seasonal,Early Adopter,M,H,H,M,H,Minimal Change,Not_Assigned,Medium,High,H,2,Mid-Format High-Potential Accounts,0.35750738651625036,False,0.4444444444444444,True,True
Accoount 1073,7989 NE SALISH LN,KINGSTON,WA,98346,USA,Highly Seasonal,Late Adopter,None,None,L,M,H,Concerning,Yes,Medium,Not_Assigned,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.18123824872414718,True,,False,True
Accoount 1075,20750 U.S. 93,Missoula,MT,59808,USA,Highly Seasonal,Late Adopter,None,None,None,None,None,Minimal Change,Not_Assigned,Low,Low,Not_Assigned,1c,Partially Profiled (Mixed/Incomplete),0.2626913779210314,True,,False,True
Accoount 1104,777 CASINO DRIVE,CHEROKEE,NC,28719,USA,Highly Seasonal,Early Adopter,M,H,L,H,VH,Minimal Change,Yes,Medium,Not_Assigned,M,2,Premium Large-Format Growth Leaders,0.32816277195809834,False,0.4,True,True
Accoount 1113,2655 EVERETT FREEMAN WAY,CORNING,CA,96021,USA,Potentially Seasonal,Trend Follower,M,H,M,M,H,Encouraging,Yes,Low,Not_Assigned,H,2,Mid-Format High-Potential Accounts,0.29599785119527267,False,0.4444444444444444,True,True
Accoount 1119,300 W. MAIN ST.,WHITE SULPHUR SPRINGS,WV,24986,USA,None,None,None,None,L,L,M,None,Not_Assigned,Low,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.25141015310233683,True,,False,True
Accoount 1122,655 North Canfield Niles Road,Youngstown,OH,44515,USA,Potentially Seasonal,Early Adopter,M,H,M,M,H,Encouraging,Not_Assigned,Low,Not_Assigned,H,2,Mid-Format High-Potential Accounts,0.30217566478646257,False,0.5,True,True
Accoount 1129,4876 HAXTON WAY,FERNDALE,WA,98248,USA,Not_Assigned,None,None,None,L,M,H,None,Not_Assigned,Low,Not_Assigned,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2410690303518668,True,,False,True
